k,delay,mean
1,0,47373677.666666664
1,1000,47941449.666666664
2,0,51366009.333333336
2,1000,51829650.666666664
4,0,52156531.666666664
4,1000,54030860.333333336
8,0,57004531.0
8,1000,59086654.333333336
16,0,56648141.333333336
16,1000,67742564.33333333
32,0,55902354.333333336
32,1000,80825583.0
64,0,56382324.0
64,1000,115330962.0
128,0,56822270.333333336
128,1000,178672356.0
